"Lake","Species","Morph_ID","Morph_zone","Morph_diet","Source","Evidence"
"GreatBear","Salvelinus_namaycush","GreatBear_M2","generalist","","72A","morphology; stable isotopes; location of capture"
"GreatBear","Salvelinus_namaycush","GreatBear_M3","generalist","","72A","morphology; stable isotopes; location of capture"
"GreatBear","Salvelinus_namaycush","GreatBear_M4","pelagic","","72A","morphology; stable isotopes; location of capture"
"GreatSlaveC","Coregonus_artedi","GreatSlaveC_bigeye","profundal","","83A","morphology; gill rakers; location of capture"
"GreatSlaveC","Coregonus_artedi","GreatSlaveC_lacustrine","","","83A","morphology; gill rakers; location of capture"
"GreatSlaveC","Coregonus_artedi","GreatSlaveC_zenithicus","","","83A","morphology; gill rakers; location of capture"
"GreatSlaveS","Salvelinus_namaycush","GreatSlaveS_lean","generalist","piscivore","170A","morphology; stable isotopes; location of capture; stomach contents"
"GreatSlaveS","Salvelinus_namaycush","GreatSlaveS_siscowet","generalist","piscivore","170A","morphology; stable isotopes; location of capture; stomach contents"
"Hazen","Salvelinus_alpinus","Hazen_large","pelagic","","393B","morphology; isotopes; stomach contents"
"Hazen","Salvelinus_alpinus","Hazen_small","littoral/benthic","","393B","morphology; isotopes; stomach contents"
"Hogan","Coregonus_artedi","Hogan_B","littoral/benthic","","04C","location of capture; morphology; gill rakers"
"Hogan","Coregonus_artedi","Hogan_PL","pelagic","","04C","location of capture; morphology; gill rakers"
"Iddja","Coregonus_lavaretus","Iddja_DR","pelagic","planktivore","202A","gill rakers; stomach contents; location of capture"
"Iddja","Coregonus_lavaretus","Iddja_LSR","littoral/benthic","benthivore","28A","gill rakers; description in 28A"
"Iddja","Coregonus_lavaretus","Iddja_SSR","profundal","benthivore","28A","gill rakers; description in 28A"
"Imandra","Coregonus_lavaretus","Imandra_MR","pelagic","","06C","morphology; location of capture; stomach contents"
"Imandra","Coregonus_lavaretus","Imandra_SR","generalist","","06C","morphology; location of capture; stomach contents"
"Inari","Coregonus_lavaretus","Inari_DR","pelagic","planktivore","14B","stomach contents; isotopes; gill rakers"
"Inari","Coregonus_lavaretus","Inari_LDR","generalist","generalist invertivore","14B","stomach contents; isotopes; gill rakers"
"Inari","Coregonus_lavaretus","Inari_LSR","littoral/benthic","benthivore","14B","stomach contents; isotopes; gill rakers"
"Inari","Coregonus_lavaretus","Inari_SSR","profundal","benthivore","14B","stomach contents; isotopes; gill rakers"
"Indian","Coregonus_clupeaformis","Indian_dwarf","pelagic","","108B","gill rakers; morphology; description in 108B"
"Indian","Coregonus_clupeaformis","Indian_norm","littoral/benthic","","108B","gill rakers; morphology; description in 108B"
"Iqalugaajuruluit","Salvelinus_alpinus","Iqalugaajuruluit_H","","piscivore","162A","growth curves; stable isotopes; stomach contents"
"Iqalugaajuruluit","Salvelinus_alpinus","Iqalugaajuruluit_L","","generalist invertivore","162A","growth curves; stable isotopes; stomach contents"
"Isteren","Coregonus_lavaretus","Isteren_dwarf","","","331B","growth curves; morphology"
"Isteren","Coregonus_lavaretus","Isteren_normal","","","331B","growth curves; morphology"
"Kalarskii-Davatchan","Salvelinus_alpinus","Kalarskii-Davatchan_D","","planktivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Kalarskii-Davatchan","Salvelinus_alpinus","Kalarskii-Davatchan_L","","","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Kalarskii-Davatchan","Salvelinus_alpinus","Kalarskii-Davatchan_S1","","piscivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Kalarskii-Davatchan","Salvelinus_alpinus","Kalarskii-Davatchan_S2","","piscivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Kamkanda","Salvelinus_alpinus","Kamkanda_dwarf","","benthivore","31C","morphology; stomach contents"
"Kamkanda","Salvelinus_alpinus","Kamkanda_large","","piscivore","31C","morphology; stomach contents"
"Kamkanda","Salvelinus_alpinus","Kamkanda_small","","planktivore","31C","morphology; stomach contents"
"Kiryalta-3","Salvelinus_alpinus","Kiryalta-3_L","","piscivore","264A","body size distributions; morphology; stomach contents"
"Kiryalta-3","Salvelinus_alpinus","Kiryalta-3_S","pelagic","planktivore","264A","body size distributions; morphology; stomach contents"
"Kiryalta-4","Salvelinus_alpinus","Kiryalta-4_L","","piscivore","264A","body size distributions; morphology; stomach contents"
"Kiryalta-4","Salvelinus_alpinus","Kiryalta-4_S","pelagic","planktivore","264A","body size distributions; morphology; stomach contents"
"Koitere","Coregonus_lavaretus","Koitere_IR","","","19C","gill rakers"
"Koitere","Coregonus_lavaretus","Koitere_LDR","","","19C","gill rakers"
"Koitere","Coregonus_lavaretus","Koitere_SR","","","19C","gill rakers"
"Krestaki","Salvelinus_alpinus","Krestaki-1_D","","benthivore","264A","body size distributions; morphology; stomach contents"
"Krestaki","Salvelinus_alpinus","Krestaki-1_L","","piscivore","264A","body size distributions; morphology; stomach contents"
"Krestaki","Salvelinus_alpinus","Krestaki-1_S1","","generalist invertivore","264A","body size distributions; morphology; stomach contents"
"Krestaki","Salvelinus_alpinus","Krestaki-1_S2","","generalist invertivore","264A","body size distributions; morphology; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_B","profundal","benthivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_L","pelagic","piscivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_N1","littoral/benthic","benthivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_N2","littoral/benthic","benthivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_N3","littoral/benthic","benthivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_S","profundal","omnivore","27A","morphology; location of capture; stomach contents"
"Kronotskoe","Salvelinus_malma","Kronotskoe_W","pelagic","omnivore","27A","morphology; location of capture; stomach contents"
"Kudushkit","Salvelinus_alpinus","Kudushkit_D","","generalist invertivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Kudushkit","Salvelinus_alpinus","Kudushkit_L","","omnivore","49C","growth curves/distributions; diet ID from references in 49C table 1"
"Ladnet","Coregonus_lavaretus","Ladnet_DR","pelagic","planktivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Ladnet","Coregonus_lavaretus","Ladnet_LSR","littoral/benthic","benthivore","202A","morphology; gill rakers; location of capture; stomach contents"
"Lahpo","Coregonus_lavaretus","Lahpo_DR","pelagic","planktivore","237A","gill rakers; stomach contents; location of capture"
"Lahpo","Coregonus_lavaretus","Lahpo_LSR-l","littoral/benthic","benthivore","108A","gill rakers; diet"
"Lahpo","Coregonus_lavaretus","Lahpo_LSR-p","profundal","benthivore","108A","gill rakers; diet"
"Langfjord","Coregonus_lavaretus","Langfjord_DR","pelagic","planktivore","96A","gill rakers; stomach contents; location of capture"
"Langfjord","Coregonus_lavaretus","Langfjord_LSR","littoral/benthic","benthivore","96A","gill rakers; stomach contents; location of capture"
"Langfjord","Coregonus_lavaretus","Langfjord_SSR","profundal","benthivore","96A","gill rakers; stomach contents; location of capture"
"Ledoux","Salvelinus_fontinalis","Ledoux_L","littoral/benthic","","300A","morphology; location of capture"
"Ledoux","Salvelinus_fontinalis","Ledoux_PL","pelagic","","300A","morphology; location of capture"
"Limingen","Salvelinus_alpinus","Limingen_dwarf","profundal","","3A","morphology; location of capture; stomach contents"
"Limingen","Salvelinus_alpinus","Limingen_grey","profundal","piscivore","3A","morphology; location of capture; stomach contents"
"Limingen","Salvelinus_alpinus","Limingen_normal","generalist","planktivore","3A","morphology; location of capture; stomach contents"
