Paper_ID,Full_Paper_ID,Reference
75C,75C-Gislason1999,"Gíslason, D., M. M. Ferguson, S. Skúlason, and S. S. Snorrason. 1999. Rapid and coupled phenotypic and genetic divergence in Icelandic Arctic char (Salvelinus alpinus). Canadian Journal of Fisheries and Aquatic Sciences 56:2229–2234."
79C,79C-Bernatchez1996,"Bernatchez, L., J. A. Vuorinen, R. A. Bodaly, and J. J. Dodson. 1996. Genetic evidence for reproductive isolation and multiple origins of sympatric trophic ecotypes of whitefish (Coregonus). Evolution 50:624–635."
82C,82C-Bjoru1995,"Bjoru, B., and O. T. Sandlund. 1995. Differences in morphology and ecology within a stunted Arctic char population. Nordic Journal of Freshwater Research 71:163–172."
83A,83A-Muir2014,"Muir, A. M., P. Vecsei, M. Power, C. C. Krueger, and J. D. Reist. 2014. Morphology and life history of the Great Slave Lake ciscoes (Salmoniformes: Coregonidae). Ecology of Freshwater Fish 23:453–469."
85A,85A-Knudsen2014,"Knudsen, R., A. Siwertsson, C. E. Adams, J. Newton, and P. A. Amundsen. 2014. Similar patterns of individual niche use are revealed by different time-integrated trophic tracers (stable isotopes and parasites). Ecology of Freshwater Fish 23:259–268."
89A,89A-Conejeros2014,"Conejeros, P., A. Phan, M. Power, M. O’Connell, S. Alekseyev, I. Salinas, and B. Dixon. 2014. Differentiation of sympatric arctic char morphotypes using Major Histocompatibility Class II genes. Transactions of the American Fisheries Society 143:586–594."
93C,93C-Walker1988,"Walker, A. F., R. B. Greer, and A. S. Gardner. 1988. Two ecologically distinct forms of arctic charr Salvelinus alpinus (L.) in Loch Rannoch, Scotland. Biological Conservation 43:43–61."
94C,94C-Sandlund1987,"Sandlund, O. Ter, B. Jonsson, H. J. Malmquist, R. Gydemo, T. Lindem, S. Skúlason, S. S. Snorrason, et al. 1987. Habitat use of arctic charr Salvelinus alpinus in Thingvallavatn, Iceland. Environmental Biology of Fishes 20:263–274."
96A,96A-Praebel2013,"Præbel, K., R. Knudsen, A. Siwertsson, M. Karhunen, K. K. Kahilainen, O. Ovaskainen, K. Østbye, et al. 2013. Ecological speciation in postglacial European whitefish: Rapid adaptive radiations into the littoral, pelagic, and profundal lake habitats. Ecology and Evolution 3:4970–4986."
96C,96C-Hindar1982,"Hindar, K., and B. Jonsson. 1982. Habitat and food segregation of dwarf and normal arctic charr (Salvelinus alpinus) from Vangsvatnet Lake, Western Norway. Canadian Journal of Fisheries and Aquatic Sciences 39:1030–1045."
97C,97C-Jonsson1982,"Jonsson, B., and K. Hindar. 1982. Reproductive strategy of dwarf and normal arctic charr (Salvelinus alpinus) from Vangsvatnet Lake, Western Norway. Canadian Journal of Fisheries and Aquatic Sciences 39:1404–1413."

